structure_type,rated_power_mw,material_model,intensity_gco2_per_kwh_base,total_gwp_kgco2_base,intensity_gco2_per_kwh_min,total_gwp_kgco2_min,intensity_gco2_per_kwh_max,total_gwp_kgco2_max,intensity_range,intensity_range_pct_of_base,gwp_range
bottom_fixed,2.0,rcfrp,18.274164190751904,3201633.5662197336,20.005399016509845,3066827.6692309594,17.150574258850867,3380378.1864195056,-2.854824757658978,-15.622190584802414,313550.51718854625
bottom_fixed,2.0,rrcfrp,18.334893628971297,3212273.3637957717,20.013920558001857,3068134.0215416844,17.263302103530865,3402596.8446059334,-2.7506184544709917,-15.002096604065866,334462.823064249
bottom_fixed,5.0,gfrp,14.13462927634673,6190967.623039869,15.711083995166511,6021272.941147566,13.11229502141642,6461083.371802941,-2.598788973750091,-18.385971948333832,439810.4306553751
bottom_fixed,5.0,cfrp,15.418805552978322,6753436.832204505,16.990655517957364,6511668.7272571605,14.463471466143089,7126875.564942006,-2.5271840518142756,-16.39027123813829,615206.8376848456
bottom_fixed,5.0,rcfrp,14.188214806652171,6214438.085313651,15.423479157046517,5911048.386938077,13.41643968420595,6610950.654392482,-2.0070394728405674,-14.145821022526125,699902.2674544044
bottom_fixed,5.0,rrcfrp,14.250780700723231,6241841.946916776,15.437448813667238,5916402.257837969,13.527314359604176,6665584.150694958,-1.910134454063062,-13.403717972911632,749181.892856989
bottom_fixed,10.0,gfrp,12.563396359658556,11005535.211060897,13.948058635961656,10691186.944464607,11.671699189918868,11502459.551665043,-2.276359446042788,-18.11898137156801,811272.6072004363
bottom_fixed,10.0,cfrp,13.764356520565125,12057576.312015047,15.140252212381,11605003.320790038,12.94071530740328,12753074.93544593,-2.1995369049777196,-15.979947204153158,1148071.6146558933
bottom_fixed,10.0,rcfrp,12.603051865293583,11040273.433997178,13.659579623150409,10470067.781144788,11.952739186549357,11779424.468344389,-1.706840436601052,-13.54307238313735,1309356.6871996
bottom_fixed,10.0,rrcfrp,12.666891016251853,11096196.530236624,13.677384435430886,10483715.169757774,12.062270366100451,11887367.445791991,-1.6151140693304349,-12.750674709825907,1403652.2760342173
bottom_fixed,15.0,gfrp,11.94694267085784,15698282.6695072,13.258911138595346,15244433.0816,11.102719772367056,16412595.5035016,-2.15619136622829,-18.048059872990642,1168162.4219016004
bottom_fixed,15.0,cfrp,13.101355951184782,17215181.719856802,14.40223915038017,16558974.463149602,12.325768390497952,18220567.1232536,-2.076470759882218,-15.849281308126267,1661592.6601039972
bottom_fixed,15.0,rcfrp,11.978828074641784,15740180.090079304,12.969983547384214,14912238.583605,11.37084321847022,16808948.9877036,-1.5991403289139932,-13.349722685303785,1896710.4040985983
bottom_fixed,15.0,rrcfrp,12.043368392286682,15824986.0674647,12.989923738316676,14935164.8181296,11.479610822310706,16969734.6980808,-1.5103129160059705,-12.54061876055596,2034569.8799512014
semisubmersible,2.0,gfrp,23.852387777019334,4387885.2554604765,25.51650656816212,4246967.353204903,20.914906230633505,4580364.4645087365,-4.601600337528616,-19.291990305314606,333397.1113038333
semisubmersible,2.0,cfrp,24.987368352434743,4596676.282113896,26.375765437914648,4389982.399486514,22.13713464789879,4848032.487889836,-4.238630790015858,-16.96309403308112,458050.0884033218
semisubmersible,2.0,rcfrp,24.036161167311317,4421692.208338589,25.25445873518899,4203352.111884856,21.47090510296543,4702128.217549429,-3.783553632223562,-15.741089460529647,498776.1056645736
semisubmersible,2.0,rrcfrp,24.36372705660788,4481951.229333586,25.517082840970417,4247063.268051116,21.679752265765547,4747865.746202655,-3.83733057520487,-15.750178805931572,500802.47815153934
semisubmersible,5.0,gfrp,19.841240093619696,9124986.3190557,21.11565740366725,8786225.045665942,17.50283042706187,9582799.658816371,-3.6128269766053798,-18.2086752620223,796574.613150429
semisubmersible,5.0,cfrp,20.8779035000136,9601747.819656257,21.88961621012852,9108269.305034475,18.627731153236773,10198682.806397133,-3.261885056891746,-15.623623592711889,1090413.5013626572
semisubmersible,5.0,rcfrp,19.99996047991813,9197981.824714348,20.85370631644489,8677227.198272718,18.01497267291571,9863197.538421355,-2.838733643529178,-14.19369626444781,1185970.340148637
semisubmersible,5.0,rrcfrp,20.31342145529044,9342142.527288072,21.10595679673214,8782188.623120243,18.213616351566497,9971954.952482656,-2.892340445165644,-14.238568581524511,1189766.329362413
semisubmersible,10.0,gfrp,18.263922276857972,16799155.71025396,19.395449006676433,16140892.663356127,16.147542368816335,17681558.893853884,-3.2479066378600976,-17.783182542205004,1540666.230497757
semisubmersible,10.0,cfrp,19.213525673425536,17672600.91441681,20.083367737943444,16713378.631516537,17.193710884867542,18827113.418929957,-2.889656853075902,-15.039701209406985,2113734.78741342
semisubmersible,10.0,rcfrp,18.393320947918845,16918176.607895754,19.114409990664416,15907011.994230928,16.624536615986862,18203867.594505616,-2.489873374677554,-13.536834276570794,2296855.6002746876
semisubmersible,10.0,rrcfrp,18.70544307368587,17205266.539176267,19.367817125042468,16117897.41146034,16.81998682787886,18417885.57652735,-2.547830297163607,-13.620796295105144,2299988.1650670096
semisubmersible,15.0,gfrp,17.65281615729549,24355590.45222059,18.7330002510539,23384404.213390585,15.617210258399144,25651267.849420592,-3.115789992654758,-17.650384872824247,2266863.636030007
semisubmersible,15.0,cfrp,18.553716535239705,25598562.70367022,19.3727998405806,24183066.040996764,16.61932444389874,27297240.39910368,-2.7534753966818606,-14.840559795403207,3114174.358106915
semisubmersible,15.0,rcfrp,17.765821674510168,24511504.16432168,18.441308840188835,23020285.82520772,16.074537052335995,26402427.10846187,-2.3667717878528407,-13.322050796269158,3382141.2832541503
semisubmersible,15.0,rrcfrp,18.077179246963365,24941084.207035355,18.69534903911372,23337404.205525663,16.268192465805534,26720506.12508559,-2.427156573308185,-13.426633326744842,3383101.919559926
