scenario,effective_cf,structure_type,rated_power_mw,material_model,intensity_gco2_per_kwh,rank
cf_equalized_035,0.35,fawt,10.0,rrcfrp,17.68646979122313,3.0
cf_equalized_035,0.35,fawt,15.0,gfrp,17.51875893810082,3.0
cf_equalized_035,0.35,fawt,15.0,cfrp,17.283451136289063,3.0
cf_equalized_035,0.35,fawt,15.0,rcfrp,16.520500801555425,3.0
cf_equalized_035,0.35,fawt,15.0,rrcfrp,16.92921461004479,3.0
cf_equalized_040,0.4,onshore,2.0,gfrp,14.880108394425347,1.0
cf_equalized_040,0.4,onshore,2.0,cfrp,16.286720525377344,1.0
cf_equalized_040,0.4,onshore,2.0,rcfrp,14.752688246673783,1.0
cf_equalized_040,0.4,onshore,2.0,rrcfrp,14.743022291819502,1.0
cf_equalized_040,0.4,onshore,5.0,gfrp,10.920178880907143,1.0
cf_equalized_040,0.4,onshore,5.0,cfrp,12.260524526274327,1.0
cf_equalized_040,0.4,onshore,5.0,rcfrp,10.831093741029916,1.0
cf_equalized_040,0.4,onshore,5.0,rrcfrp,10.813184823354183,1.0
cf_equalized_040,0.4,onshore,10.0,gfrp,9.401120398274335,1.0
cf_equalized_040,0.4,onshore,10.0,cfrp,10.658172665421018,1.0
cf_equalized_040,0.4,onshore,10.0,rcfrp,9.307117045949601,1.0
cf_equalized_040,0.4,onshore,10.0,rrcfrp,9.293133556643975,1.0
cf_equalized_040,0.4,onshore,15.0,gfrp,8.828620152263808,1.0
cf_equalized_040,0.4,onshore,15.0,cfrp,10.039540844930483,1.0
cf_equalized_040,0.4,onshore,15.0,rcfrp,8.732300072954832,1.0
cf_equalized_040,0.4,onshore,15.0,rrcfrp,8.72038111178488,1.0
cf_equalized_040,0.4,bottom_fixed,2.0,gfrp,18.20083994762128,2.0
cf_equalized_040,0.4,bottom_fixed,2.0,cfrp,19.602471631116707,2.0
cf_equalized_040,0.4,bottom_fixed,2.0,rcfrp,18.274164190751904,2.0
cf_equalized_040,0.4,bottom_fixed,2.0,rrcfrp,18.334893628971297,2.0
cf_equalized_040,0.4,bottom_fixed,5.0,gfrp,14.13462927634673,2.0
cf_equalized_040,0.4,bottom_fixed,5.0,cfrp,15.418805552978322,2.0
cf_equalized_040,0.4,bottom_fixed,5.0,rcfrp,14.188214806652173,2.0
cf_equalized_040,0.4,bottom_fixed,5.0,rrcfrp,14.250780700723231,2.0
cf_equalized_040,0.4,bottom_fixed,10.0,gfrp,12.563396359658556,2.0
cf_equalized_040,0.4,bottom_fixed,10.0,cfrp,13.764356520565126,2.0
cf_equalized_040,0.4,bottom_fixed,10.0,rcfrp,12.603051865293583,2.0
cf_equalized_040,0.4,bottom_fixed,10.0,rrcfrp,12.666891016251853,2.0
cf_equalized_040,0.4,bottom_fixed,15.0,gfrp,11.94694267085784,2.0
cf_equalized_040,0.4,bottom_fixed,15.0,cfrp,13.101355951184782,2.0
cf_equalized_040,0.4,bottom_fixed,15.0,rcfrp,11.978828074641784,2.0
cf_equalized_040,0.4,bottom_fixed,15.0,rrcfrp,12.043368392286684,2.0
cf_equalized_040,0.4,semisubmersible,2.0,gfrp,25.0450071658703,5.0
cf_equalized_040,0.4,semisubmersible,2.0,cfrp,26.236736770056474,5.0
cf_equalized_040,0.4,semisubmersible,2.0,rcfrp,25.237969225676878,5.0
cf_equalized_040,0.4,semisubmersible,2.0,rrcfrp,25.581913409438272,5.0
cf_equalized_040,0.4,semisubmersible,5.0,gfrp,20.83330209830068,5.0
cf_equalized_040,0.4,semisubmersible,5.0,cfrp,21.921798675014276,5.0
cf_equalized_040,0.4,semisubmersible,5.0,rcfrp,20.999958503914034,5.0
cf_equalized_040,0.4,semisubmersible,5.0,rrcfrp,21.32909252805496,5.0
cf_equalized_040,0.4,semisubmersible,10.0,gfrp,19.17711839070087,5.0
cf_equalized_040,0.4,semisubmersible,10.0,cfrp,20.174201957096813,5.0
cf_equalized_040,0.4,semisubmersible,10.0,rcfrp,19.312986995314787,5.0
cf_equalized_040,0.4,semisubmersible,10.0,rrcfrp,19.640715227370162,5.0
cf_equalized_040,0.4,semisubmersible,15.0,gfrp,18.535456965160265,5.0
cf_equalized_040,0.4,semisubmersible,15.0,cfrp,19.48140236200169,5.0
cf_equalized_040,0.4,semisubmersible,15.0,rcfrp,18.654112758235673,5.0
cf_equalized_040,0.4,semisubmersible,15.0,rrcfrp,18.98103820931153,5.0
cf_equalized_040,0.4,spar,2.0,gfrp,24.055887715912,4.0
cf_equalized_040,0.4,spar,2.0,cfrp,25.55059529563082,4.0
cf_equalized_040,0.4,spar,2.0,rcfrp,24.558515463183948,4.0
cf_equalized_040,0.4,spar,2.0,rrcfrp,24.865409259512266,4.0
cf_equalized_040,0.4,spar,5.0,gfrp,19.733500629275873,4.0
cf_equalized_040,0.4,spar,5.0,cfrp,21.09463881889653,4.0
cf_equalized_040,0.4,spar,5.0,rcfrp,20.18489605257348,4.0
cf_equalized_040,0.4,spar,5.0,rrcfrp,20.48580435099809,4.0
cf_equalized_040,0.4,spar,10.0,gfrp,18.067050482860864,4.0
cf_equalized_040,0.4,spar,10.0,cfrp,19.3311985675533,4.0
cf_equalized_040,0.4,spar,10.0,rcfrp,18.48084007660377,4.0
cf_equalized_040,0.4,spar,10.0,rrcfrp,18.7787731714563,4.0
cf_equalized_040,0.4,spar,15.0,gfrp,17.41964216560665,4.0
cf_equalized_040,0.4,spar,15.0,cfrp,18.629526689099805,4.0
cf_equalized_040,0.4,spar,15.0,rcfrp,17.81239715940545,4.0
